# timestamp, timestep, pktv4counts, pktv6counts
1548997235.669888, 351, 11284, 240
1548997235.769888, 352, 11973, 98
1548997235.869888, 353, 11922, 137
1548997235.969888, 354, 11106, 114
1548997236.069888, 355, 13032, 114
1548997236.169888, 356, 12266, 132
1548997236.269888, 357, 9233, 86
1548997236.369888, 358, 10746, 223
1548997236.469888, 359, 11273, 70
1548997236.569888, 360, 10566, 122
1548997236.669888, 361, 12575, 75
1548997236.769887, 362, 11230, 155
1548997236.869887, 363, 12674, 175
1548997236.969887, 364, 9841, 225
1548997237.069887, 365, 10576, 141
1548997237.169887, 366, 13474, 109
1548997237.269887, 367, 14196, 99
1548997237.369887, 368, 12296, 135
1548997237.469887, 369, 12159, 86
1548997237.569887, 370, 11700, 87
1548997237.669887, 371, 12646, 104
1548997237.769886, 372, 13161, 159
1548997237.869886, 373, 12385, 98
1548997237.969886, 374, 10313, 113
1548997238.069886, 375, 10326, 144
1548997238.169886, 376, 12110, 125
1548997238.269886, 377, 11582, 298
1548997238.369886, 378, 12058, 231
1548997238.469886, 379, 10636, 436
1548997238.569886, 380, 12665, 204
1548997238.669886, 381, 13438, 403
1548997238.769886, 382, 13932, 392
1548997238.869885, 383, 11650, 154
1548997238.969885, 384, 12078, 267
1548997239.069885, 385, 12299, 340
1548997239.169885, 386, 14237, 128
1548997239.269885, 387, 12930, 278
1548997239.369885, 388, 13197, 357
1548997239.469885, 389, 11893, 256
1548997239.569885, 390, 10452, 274
1548997239.669885, 391, 11827, 301
1548997239.769885, 392, 11736, 159
1548997239.869884, 393, 12411, 287
1548997239.969884, 394, 11495, 301
1548997240.069884, 395, 11442, 98
1548997240.169884, 396, 13805, 102
1548997240.269884, 397, 13332, 164
1548997240.369884, 398, 13056, 134
1548997240.469884, 399, 12526, 111
1548997240.569884, 400, 13233, 331
1548997240.669884, 401, 13954, 347
1548997240.769884, 402, 13787, 280
1548997240.869884, 403, 14100, 281
1548997240.969883, 404, 14230, 234
1548997241.069883, 405, 13583, 150
1548997241.169883, 406, 14002, 212
1548997241.269883, 407, 13176, 177
1548997241.369883, 408, 13500, 146
1548997241.469883, 409, 13547, 221
1548997241.569883, 410, 13873, 303
1548997241.669883, 411, 13833, 191
1548997241.769883, 412, 13429, 332
1548997241.869883, 413, 12237, 329
1548997241.969882, 414, 12254, 395
1548997242.069882, 415, 13338, 445
1548997242.169882, 416, 13516, 278
1548997242.269882, 417, 13413, 230
1548997242.369882, 418, 12956, 217
1548997242.469882, 419, 12395, 98
1548997242.569882, 420, 13347, 156
1548997242.669882, 421, 14600, 335
1548997242.769882, 422, 13363, 258
1548997242.869882, 423, 14507, 194
1548997242.969882, 424, 11903, 495
1548997243.069881, 425, 12028, 305
1548997243.169881, 426, 13739, 191
1548997243.269881, 427, 14015, 152
1548997243.369881, 428, 14033, 127
1548997243.469881, 429, 14211, 148
1548997243.569881, 430, 13752, 89
1548997243.669881, 431, 12165, 136
1548997243.769881, 432, 13293, 184
1548997243.869881, 433, 13732, 133
1548997243.969881, 434, 13549, 205
1548997244.069880, 435, 9446, 131
1548997244.169880, 436, 11300, 357
1548997244.269880, 437, 11895, 297
1548997244.369880, 438, 10879, 311
1548997244.469880, 439, 9621, 288
1548997244.569880, 440, 11118, 142
1548997244.669880, 441, 11632, 330
1548997244.769880, 442, 11277, 390
1548997244.869880, 443, 13091, 264
1548997244.969880, 444, 12597, 271
1548997245.069880, 445, 12058, 267
1548997245.169879, 446, 13545, 238
1548997245.269879, 447, 12507, 300
1548997245.369879, 448, 12533, 134
1548997245.469879, 449, 13466, 186
1548997245.569879, 450, 13733, 110
